,Location,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Etaj,Max etaj,Mebel,Televizor,Shifoxona,Bolalar bogchasi,Kongilochar joy,Yashil maydon,Avtoturargoh,Maktab,HovliDom
0,2,142000.0,Бизнес,Новостройки,3,92.0,4,8,1,1,1,1,1,1,1,1,0
1,2,127000.0,Бизнес,Новостройки,3,110.0,3,8,0,0,1,1,1,1,1,1,0
2,0,46000.0,Бизнес,Вторичный рынок,2,45.0,1,4,1,1,1,1,1,1,1,1,0
3,2,240000.0,Бизнес,Новостройки,4,150.0,3,8,1,1,1,1,1,1,1,1,0
4,1,35001.0,Бизнес,Вторичный рынок,1,39.0,4,5,0,0,1,1,1,1,1,1,0
5,1,90000.0,Частное лицо,Вторичный рынок,4,92.0,1,9,1,1,1,1,1,1,1,1,0
6,1,30500.0,Бизнес,Вторичный рынок,1,28.0,3,4,0,0,1,1,1,1,1,1,0
7,2,52999.0,Бизнес,Вторичный рынок,3,72.0,3,9,0,0,1,1,1,1,1,1,0
8,0,35500.0,Бизнес,Вторичный рынок,2,55.0,5,5,0,0,1,1,1,1,1,1,0
9,0,41500.0,Бизнес,Вторичный рынок,2,50.0,3,5,1,1,1,1,1,1,1,1,0
10,1,87000.0,Бизнес,Вторичный рынок,3,87.0,2,4,1,0,1,1,1,1,1,1,0
11,1,60000.0,Бизнес,Вторичный рынок,3,70.0,4,4,0,0,1,1,1,1,1,1,0
12,2,57000.0,Бизнес,Новостройки,2,50.0,3,7,1,0,0,0,0,0,0,0,0
13,1,90000.0,Бизнес,Вторичный рынок,3,72.0,2,4,1,0,1,1,1,1,1,1,0
14,1,70000.0,Бизнес,Новостройки,2,52.0,8,8,1,1,1,1,1,1,1,1,0
15,2,70000.0,Частное лицо,Новостройки,3,76.0,5,6,0,1,1,1,1,1,1,1,0
16,2,45500.0,Бизнес,Вторичный рынок,3,65.0,4,4,0,0,1,1,1,1,1,1,0
17,1,34500.0,Бизнес,Вторичный рынок,1,36.0,1,4,0,0,1,1,1,1,1,1,0
18,2,16200.0,Бизнес,Вторичный рынок,1,18.0,2,4,0,0,1,1,1,1,1,1,0
19,1,37500.0,Бизнес,Вторичный рынок,2,61.0,4,4,0,0,1,1,1,1,1,1,0
20,0,35000.0,Частное лицо,Вторичный рынок,2,48.0,2,4,1,0,1,1,0,1,1,1,0
21,0,42000.0,Бизнес,Вторичный рынок,2,65.0,6,9,0,0,1,1,1,1,1,1,0
22,1,68000.0,Бизнес,Вторичный рынок,4,93.0,2,5,1,1,1,1,1,1,1,1,0
23,2,49500.0,Бизнес,Вторичный рынок,2,60.0,4,4,0,0,0,0,0,0,0,0,0
24,0,51000.0,Частное лицо,Вторичный рынок,4,92.0,4,5,0,0,1,1,1,1,1,1,0
25,2,66000.0,Бизнес,Вторичный рынок,4,84.0,1,4,0,0,1,1,1,1,1,1,0
26,0,33500.0,Бизнес,Вторичный рынок,1,37.0,2,4,0,0,0,0,0,0,0,0,0
27,2,48000.0,Частное лицо,Вторичный рынок,2,60.0,4,4,0,0,0,0,0,0,0,0,0
28,1,67000.0,Бизнес,Вторичный рынок,4,80.0,4,5,1,0,0,0,0,0,0,0,0
29,0,36000.0,Бизнес,Вторичный рынок,1,32.0,3,4,1,0,0,0,0,0,0,0,0
30,0,28500.0,Бизнес,Вторичный рынок,1,28.0,2,5,0,0,1,1,1,1,1,1,0
31,0,52000.0,Бизнес,Вторичный рынок,3,63.0,4,4,0,0,1,1,1,1,1,1,0
32,1,58000.0,Бизнес,Вторичный рынок,4,92.0,2,5,0,0,0,0,0,0,0,0,0
33,1,36000.0,Бизнес,Вторичный рынок,2,62.0,9,9,0,0,0,0,0,0,0,0,0
34,0,56000.0,Бизнес,Вторичный рынок,2,50.0,1,4,0,0,1,1,1,1,1,1,0
35,2,150000.0,Бизнес,Вторичный рынок,4,126.0,3,4,0,1,1,1,1,1,1,1,0
36,0,100000.0,Бизнес,Вторичный рынок,2,75.0,6,9,1,1,1,1,1,1,1,1,0
37,1,68000.0,Бизнес,Вторичный рынок,3,75.0,2,4,1,0,0,0,0,0,0,0,0
38,1,130000.0,Бизнес,Вторичный рынок,4,130.0,6,9,1,1,1,1,1,0,1,1,0
39,1,46500.0,Бизнес,Вторичный рынок,3,68.0,2,4,0,0,1,1,0,0,1,1,0
40,1,78000.0,Бизнес,Вторичный рынок,3,93.0,3,5,0,0,0,0,0,0,0,0,0
41,1,37000.0,Бизнес,Вторичный рынок,2,50.0,2,4,0,0,1,1,1,1,1,1,0
42,2,54500.0,Бизнес,Вторичный рынок,1,40.0,3,5,1,0,1,1,1,1,1,1,0
43,0,35500.0,Бизнес,Вторичный рынок,1,36.0,1,5,1,0,0,0,0,0,0,0,0
44,0,54000.0,Бизнес,Новостройки,2,48.5,4,6,1,0,0,0,0,0,0,0,0
45,2,47000.0,Бизнес,Вторичный рынок,3,66.0,2,4,0,0,0,1,1,1,1,1,0
46,0,31500.0,Бизнес,Вторичный рынок,1,33.0,1,4,0,0,0,0,0,0,0,0,0
47,0,42000.0,Бизнес,Вторичный рынок,2,55.0,2,4,0,0,1,1,1,1,1,1,0
48,1,155000.0,Бизнес,Вторичный рынок,6,186.0,1,5,0,0,0,0,0,0,0,0,0
49,0,49900.0,Бизнес,Вторичный рынок,2,45.0,1,4,1,1,1,1,1,1,1,1,0
50,2,63000.0,Бизнес,Вторичный рынок,2,65.0,8,9,1,0,1,1,1,1,1,1,0
51,1,100000.0,Бизнес,Вторичный рынок,3,85.0,4,5,1,0,0,0,0,0,0,0,0
52,0,23000.0,Бизнес,Вторичный рынок,1,20.0,9,9,1,0,0,0,0,0,0,0,0
53,2,57500.0,Бизнес,Вторичный рынок,2,62.0,3,4,0,0,0,0,0,0,0,0,0
54,0,39000.0,Бизнес,Вторичный рынок,2,48.0,3,5,0,0,0,0,0,0,0,0,0
55,0,32500.0,Бизнес,Вторичный рынок,1,28.0,2,4,0,0,0,0,0,0,0,0,0
56,2,71000.0,Бизнес,Вторичный рынок,3,75.0,3,4,0,0,1,1,1,1,1,1,0
57,1,68000.0,Частное лицо,Вторичный рынок,4,80.0,2,4,0,0,1,1,1,0,0,1,0
58,2,34200.0,Бизнес,Вторичный рынок,1,40.0,1,5,0,0,1,1,1,1,1,0,0
59,0,38500.0,Бизнес,Вторичный рынок,1,48.0,4,4,1,1,1,1,1,1,1,1,0
60,0,83000.0,Бизнес,Вторичный рынок,3,91.0,3,9,0,0,0,0,0,0,0,0,0
61,1,100000.0,Бизнес,Новостройки,4,110.0,1,6,0,0,1,1,1,1,1,1,0
63,2,75000.0,Частное лицо,Вторичный рынок,3,72.0,1,5,0,0,0,0,0,0,0,0,0
64,0,66500.0,Бизнес,Вторичный рынок,3,65.0,1,4,1,1,1,1,1,1,1,1,0
65,0,51000.0,Бизнес,Вторичный рынок,3,65.0,2,4,1,1,1,1,1,1,1,1,0
66,2,200000.0,Бизнес,Новостройки,3,92.0,7,9,1,0,0,0,0,0,0,0,0
67,0,53500.0,Бизнес,Вторичный рынок,2,52.0,1,4,1,0,1,1,1,1,1,1,0
68,2,81000.0,Бизнес,Вторичный рынок,3,75.0,6,9,1,0,1,1,1,1,1,1,0
69,1,53000.0,Бизнес,Вторичный рынок,3,66.0,1,4,0,0,1,1,1,1,1,1,0
70,0,32500.0,Бизнес,Вторичный рынок,1,40.0,4,5,1,0,0,0,0,0,0,0,0
71,0,31000.0,Бизнес,Вторичный рынок,1,33.0,1,4,0,0,0,0,0,0,0,0,0
72,0,30500.0,Бизнес,Вторичный рынок,1,45.0,8,9,0,0,1,1,1,1,1,1,0
73,2,49000.0,Бизнес,Вторичный рынок,1,31.0,2,4,0,0,0,0,0,0,0,0,0
74,2,84000.0,Бизнес,Новостройки,3,122.0,3,8,0,0,1,1,1,1,1,1,0
75,0,39000.0,Бизнес,Вторичный рынок,1,30.0,1,4,1,1,1,1,1,1,1,1,0
76,1,108000.0,Бизнес,Вторичный рынок,5,122.0,5,5,0,0,0,0,0,0,0,0,0
77,0,65000.0,Бизнес,Вторичный рынок,3,70.0,2,4,1,0,1,1,1,1,1,1,0
78,1,64000.0,Частное лицо,Вторичный рынок,2,64.0,7,9,1,0,0,0,0,0,0,0,0
79,0,54000.0,Бизнес,Вторичный рынок,3,75.0,8,9,0,0,1,1,1,1,1,1,0
80,1,45000.0,Бизнес,Вторичный рынок,2,60.0,1,4,0,0,0,0,0,0,0,0,0
81,2,55000.0,Частное лицо,Вторичный рынок,3,1.0,2,4,1,1,1,0,0,0,1,1,0
