Link,Location,DataTime,Info,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Yashash maydoni,Oshxona maydoni,Etaj,Max etaj,Qurilish turi,Rejasi,Sanuzel,Mebel,Remont,Internet,Telefon,Televizor,Muzlatgich,Konditsioner,Kabelli TV,Kir mashina,Oshxona,Shifoxona,Poliklinika,Bolalar maydonchasi,Bolalar bogchasi,Bekat,Park,Kongilochar joy,Yashil maydon,Restoran,Kafe,Avtoturargoh,Bozor,Supermarket,Dukon,Maktab,Metro
https://www.olx.uz/d/obyavlenie/prodam-zh-k-parisen-novostroyka-ID2MkKT.html#92c514a8a3,Яккасарайский район,Сегодня в 15:23,Продам Ж/К Парисен новостройка,142000.0,Бизнес,Новостройки,3,92.0,85.0,12.0,4,8,Кирпичный,Раздельная,2 санузла и более,1,Евроремонт,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/tashkent-siti-gardens-3-3-8-110m2-g2-blok-peregarodka-ID2NnPr.html#92c514a8a3,Шайхантахурский район,Сегодня в 15:22,Ташкент Сити Гарденс 3/3/8 110м2 G2 Блок Перегародка,127000.0,Бизнес,Новостройки,3,110.0,0.0,0.0,3,8,Кирпичный,Раздельная,2 санузла и более,0,Черновая отделка,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/remont-dlya-sebya-2v3-1-4-s-obstanovkoy-chilanzar-2-kv-mehnat-ID2NnPj.html#92c514a8a3,Чиланзарский район,Сегодня в 15:21,"Ремонт Для Себя!2в3/1/4""С обстановкой!Чиланзар-2 кв""МЕХНАТ",46000.0,Бизнес,Вторичный рынок,2,45.0,0.0,0.0,1,4,Панельный,Смежная,Раздельный,1,Евроремонт,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/yakkasaray-novostroyka-4-komnat-3-etazh-150-m2-ID2OogV.html#92c514a8a3,Яккасарайский район,Сегодня в 15:21,Яккасарай /Новостройка/4 комнат/3 этаж //150 м2,240000.0,Бизнес,Новостройки,4,150.0,0.0,0.0,3,8,Кирпичный,Раздельная,,1,Авторский проект,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/odnokomnatnaya-peredelannaya-v-2h-na-karakamyshe-1-2-ID2OogB.html#92c514a8a3,Алмазарский район,Сегодня в 15:20,Однокомнатная переделанная в 2х  на Каракамыше 1/2,35001.0,Бизнес,Вторичный рынок,1,39.0,0.0,0.0,4,5,Панельный,,Совмещенный,0,Евроремонт,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-svoya-kvartira-na-karasu-4-ID2Ksry.html#92c514a8a3,Мирзо-Улугбекский район,Сегодня в 15:20,Срочно продаётся своя квартира на Карасу 4,90000.0,Частное лицо,Вторичный рынок,4,92.0,92.0,0.0,1,9,Панельный,Смежно-раздельная,,1,Евроремонт,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/m-ulugbek-1-3-4-or-r-akadem-gorodok-ID2OWIi.html#92c514a8a3,Мирзо-Улугбекский район,Сегодня в 15:19,М.Улугбек 1/3/4 Ор-р Академ Городок,30500.0,Бизнес,Вторичный рынок,1,28.0,0.0,0.0,3,4,Кирпичный,,Совмещенный,0,,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/yunusabad-14-3-3-9-komnata-razdelnie-or-tir-petushok-korzinka-ID2OWHI.html#92c514a8a3,Яккасарайский район,Сегодня в 15:19,Юнусабад 14 3/3/9 комната раздельние Ор-тир петушок корзинка,52999.0,Бизнес,Вторичный рынок,3,72.0,0.0,0.0,3,9,Панельный,Раздельная,Раздельный,0,Средний,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/chilonzor-23-kv-2-5-5-balkon-2-6-sredniy-remont-ID2NnOP.html#92c514a8a3,Чиланзарский район,Сегодня в 15:19,Чилонзор 23-кв 2/5/5 Балкон 2/6 средний ремонт,35500.0,Бизнес,Вторичный рынок,2,55.0,0.0,0.0,5,5,Кирпичный,Смежная,Раздельный,0,Средний,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/chilonzar-16-2-3-4-balkon-1-5h3-ID2NSXR.html#92c514a8a3,Чиланзарский район,Сегодня в 15:19,Чилонзар-16  2/3/4/балкон 1.5х3,41500.0,Бизнес,Вторичный рынок,2,50.0,0.0,0.0,3,5,Панельный,Смежная,Раздельный,1,Средний,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
